HOLE_ID,FROM,TO,AU_GPT,AG_GPT,AS_PPM
UD0066,228.15,230.14,0.005,0.86,11.0
UD0066,230.14,232.13,0.025,1.21,11.0
UD0066,232.13,234.13,0.008,0.3,18.0
UD0066,234.13,236.12,0.005,0.28,47.0
UD0066,236.12,238.12,0.008,1.46,24.0
UD0066,238.12,240.11,0.007,1.78,25.0
UD0066,240.11,242.11,0.02,0.82,30.0
UD0066,242.11,244.1,0.091,4.64,26.0
UD0066,244.1,246.1,0.111,1.87,32.0
UD0066,246.1,248.09,0.017,0.63,60.0
UD0066,248.09,250.09,0.01,1.22,39.0
UD0066,250.09,252.08,0.019,1.08,39.0
UD0066,252.08,254.07,0.016,0.9,38.0
UD0066,254.07,256.07,0.017,0.2,61.0
UD0066,256.07,258.06,0.005,0.49,11.0
UD0066,258.06,260.06,0.066,1.82,43.0
UD0066,260.06,262.05,0.01,0.36,13.0
UD0066,262.05,264.05,0.039,0.45,72.0
UD0066,264.05,266.04,0.057,1.28,34.0
UD0066,266.04,268.04,0.007,0.25,47.0
UD0066,268.04,270.03,0.232,3.79,301.0
UD0066,270.03,272.02,0.006,0.39,34.0
UD0066,272.02,274.02,0.006,0.29,12.0
UD0066,274.02,276.01,0.01,1.94,7.0
UD0066,276.01,278.01,0.007,0.32,14.0
UD0066,278.01,280.0,0.005,0.41,17.0
UD0066,280.0,282.0,0.005,0.13,13.0
UD0066,282.0,283.99,0.005,0.28,14.0
UD0066,283.99,285.99,0.026,0.22,23.0
UD0066,285.99,287.98,0.008,0.76,29.0
UD0066,287.98,289.98,0.01,0.17,23.0
UD0066,289.98,291.97,0.009,0.31,67.0
UD0066,291.97,293.96,0.032,0.74,170.0
UD0066,293.96,295.96,0.014,0.54,38.0
UD0066,295.96,297.95,0.012,0.26,11.0
UD0066,297.95,299.95,0.01,0.94,24.0
UD0066,299.95,301.94,0.015,1.98,42.0
UD0066,301.94,303.94,0.027,0.85,70.0
UD0066,303.94,305.93,0.005,1.03,6.0
UD0066,305.93,307.93,0.005,0.21,30.0
UD0066,307.93,309.92,0.037,0.94,36.0
UD0066,309.92,311.91,0.073,1.44,175.0
UD0066,311.91,313.91,0.016,0.85,9.0
UD0066,313.91,315.9,0.005,0.37,24.0
UD0066,315.9,317.9,0.007,0.45,17.0
UD0066,317.9,319.89,0.021,1.06,6.0
UD0066,319.89,321.89,0.02,0.65,20.0
UD0066,321.89,323.88,0.015,0.69,43.0
UD0066,323.88,325.88,0.02,0.94,51.0
UD0066,325.88,327.87,0.034,1.29,75.0
UD0066,327.87,329.87,0.005,1.38,8.0
UD0066,329.87,331.86,0.005,0.22,16.0
UD0066,331.86,333.85,0.048,0.49,41.0
UD0066,333.85,335.85,0.01,0.13,39.0
UD0066,335.85,337.84,0.005,0.69,12.0
UD0066,337.84,339.84,0.014,0.96,54.0
UD0066,339.84,341.83,0.027,0.2,9.0
UD0066,341.83,343.83,0.017,0.34,14.0
UD0066,343.83,345.82,0.038,0.34,18.0
UD0066,345.82,347.82,0.017,0.65,45.0
UD0066,347.82,349.81,0.028,0.77,81.0
UD0066,349.81,351.8,0.009,0.56,56.0
UD0066,351.8,353.8,0.03,0.6,52.0
UD0066,353.8,355.79,0.005,0.08,27.0
UD0066,355.79,357.79,0.005,1.33,20.0
UD0066,357.79,359.78,0.007,0.31,100.0
UD0066,359.78,361.78,0.011,0.45,54.0
UD0066,361.78,363.77,0.011,0.66,81.0
UD0066,363.77,365.77,0.052,2.18,25.0
UD0066,365.77,367.76,0.009,2.42,25.0
UD0066,367.76,369.76,0.032,2.9,19.0
UD0066,369.76,371.75,0.023,1.73,21.0
UD0066,371.75,372.75,0.062,0.75,103.0
UD0066,372.75,373.75,0.012,0.77,87.0
UD0066,373.75,374.62,0.764,5.84,233.0
UD0066,374.62,375.5,3.599,34.8,143.0
UD0066,375.5,376.5,0.56,11.83,263.0
UD0066,376.5,377.5,0.071,0.78,209.0
UD0066,377.5,379.52,0.022,1.34,11.0
UD0066,379.52,381.55,0.008,0.8,7.0
UD0066,381.55,383.57,0.008,0.49,28.0
UD0066,383.57,385.59,0.043,1.89,169.0
UD0066,385.59,387.61,0.017,0.59,16.0
UD0066,387.61,389.64,0.026,1.63,46.0
UD0066,389.64,391.66,0.005,0.25,9.0
UD0066,391.66,393.68,0.006,0.37,18.0
UD0066,393.68,395.7,0.028,0.5,135.0
UD0066,395.7,397.73,0.068,1.71,67.0
UD0066,397.73,399.75,0.012,0.21,35.0
UD0066,399.75,401.77,0.024,0.74,57.0
UD0066,401.77,403.8,0.029,1.37,103.0
UD0066,403.8,405.82,0.029,0.43,81.0
UD0066,405.82,407.84,0.025,0.55,55.0
UD0066,407.84,409.86,0.009,0.24,19.0
UD0066,409.86,411.89,0.007,0.11,10.0
UD0066,411.89,413.91,0.032,0.32,82.0
UD0066,413.91,415.93,0.037,0.37,30.0
UD0066,415.93,417.95,0.018,0.43,35.0
UD0066,417.95,419.98,0.142,7.71,52.0
UD0066,419.98,422.0,0.012,0.33,36.0
UD0066,422.0,424.02,0.005,0.76,27.0
UD0066,424.02,426.05,0.007,0.46,25.0
UD0066,426.05,428.07,0.014,0.84,21.0
UD0066,428.07,430.09,0.042,1.44,18.0
UD0066,430.09,432.11,0.006,2.76,27.0
UD0066,432.11,434.14,0.026,0.72,158.0
UD0066,434.14,436.16,0.026,0.72,38.0
UD0066,436.16,438.18,0.02,1.26,49.0
UD0066,438.18,440.2,0.057,2.04,57.0
UD0066,440.2,442.23,0.012,4.47,39.0
UD0066,442.23,444.25,0.005,0.98,10.0
UD0066,444.25,446.27,0.053,0.9,57.0
UD0066,446.27,448.3,0.033,0.74,106.0
UD0066,448.3,450.32,0.005,0.31,16.0
UD0066,450.32,452.34,0.005,0.49,12.0
UD0066,452.34,454.36,0.005,0.54,5.0
UD0066,454.36,456.39,0.01,0.26,14.0
UD0066,456.39,458.41,0.011,0.45,22.0
UD0066,458.41,460.43,0.19,5.43,78.0
UD0066,460.43,462.45,0.005,0.42,10.0
UD0066,462.45,464.48,0.014,2.35,8.0
UD0066,464.48,466.5,0.05,0.82,8.0
UD0066,466.5,467.5,0.055,1.63,165.0
UD0066,467.5,468.5,0.044,0.46,77.0
UD0066,468.5,469.5,1.909,4.81,293.0
UD0066,469.5,470.5,0.191,1.22,179.0
UD0066,470.5,471.5,0.689,20.39,614.0
UD0066,471.5,473.5,0.005,0.52,66.0
UD0066,473.5,475.5,0.03,0.4,85.0
UD0066,475.5,477.51,0.027,0.21,91.0
UD0066,477.51,479.51,0.012,0.27,33.0
UD0066,479.51,481.51,0.058,0.89,17.0
UD0066,481.51,483.51,0.008,0.3,83.0
UD0066,483.51,485.51,0.021,0.86,30.0
UD0066,485.51,487.52,0.038,0.96,25.0
UD0066,487.52,489.52,0.005,1.7,14.0
UD0066,489.52,491.52,0.007,0.31,35.0
UD0066,491.52,493.52,0.013,1.35,23.0
UD0066,493.52,495.52,0.006,0.29,51.0
UD0066,495.52,497.53,0.01,0.69,15.0
UD0066,497.53,499.53,0.007,0.23,10.0
UD0066,499.53,501.53,0.005,0.41,48.0
UD0066,501.53,503.53,0.005,0.12,71.0
UD0066,503.53,505.53,0.005,0.17,6.0
UD0066,505.53,507.53,0.026,1.83,26.0
UD0066,507.53,509.54,0.007,0.51,43.0
UD0066,509.54,511.54,0.022,0.82,399.0
UD0066,511.54,513.54,0.016,2.45,36.0
UD0066,513.54,515.54,0.009,0.51,19.0
UD0066,515.54,517.54,0.005,0.24,54.0
UD0066,517.54,519.55,0.01,0.65,23.0
UD0066,519.55,521.55,0.005,0.14,17.0
UD0066,521.55,523.55,0.005,0.18,31.0
UD0066,523.55,525.55,0.005,0.1,7.0
UD0066,525.55,527.55,0.005,0.3,16.0
UD0066,527.55,529.56,0.011,0.12,32.0
UD0066,529.56,531.56,0.193,4.17,140.0
UD0066,531.56,533.56,0.008,0.34,70.0
UD0066,533.56,535.56,0.005,2.15,12.0
UD0066,535.56,537.56,0.008,0.37,7.0
UD0066,537.56,539.57,0.009,0.91,11.0
UD0066,539.57,541.57,0.013,1.11,59.0
UD0066,541.57,543.57,0.005,0.3,33.0
UD0066,543.57,545.57,0.012,1.25,112.0
UD0066,545.57,547.57,0.034,1.22,170.0
UD0066,547.57,549.58,0.005,0.13,47.0
UD0066,549.58,551.58,0.029,0.12,65.0
UD0066,551.58,553.58,0.106,0.57,91.0
UD0066,553.58,555.58,0.005,0.19,79.0
UD0066,555.58,557.58,0.023,0.36,183.0
UD0066,557.58,559.59,0.006,0.52,30.0
UD0066,559.59,561.59,0.006,0.65,19.0
UD0066,561.59,563.59,0.015,0.72,15.0
UD0066,563.59,565.59,0.064,1.21,33.0
UD0066,565.59,567.59,0.065,1.15,47.0
UD0066,567.59,569.59,0.037,1.64,33.0
UD0066,569.59,571.6,0.01,0.58,26.0
UD0066,571.6,573.6,0.015,0.81,38.0
UD0066,573.6,575.6,0.005,0.69,18.0
UD0066,575.6,577.6,0.005,0.25,29.0
UD0066,577.6,579.6,0.005,0.38,3.0
UD0066,579.6,581.61,0.014,0.26,95.0
UD0066,581.61,583.61,0.007,0.37,21.0
UD0066,583.61,585.61,0.042,0.61,28.0
UD0066,585.61,587.61,0.005,0.14,13.0
UD0066,587.61,589.61,0.045,0.62,48.0
UD0066,589.61,591.62,0.085,0.5,134.0
UD0066,591.62,593.62,0.007,0.21,13.0
UD0066,593.62,595.62,0.018,1.08,50.0
UD0066,595.62,597.62,0.035,0.71,133.0
UD0066,597.62,599.62,0.007,0.28,14.0
UD0066,599.62,601.63,0.033,1.17,26.0
UD0066,601.63,603.63,0.017,0.4,7.0
UD0066,603.63,605.63,0.005,0.1,14.0
UD0066,605.63,607.63,0.005,0.19,13.0
UD0066,607.63,609.63,0.025,0.64,61.0
UD0066,609.63,611.64,0.028,0.18,54.0
UD0066,611.64,613.64,0.009,0.65,8.0
UD0066,613.64,615.64,0.007,0.64,50.0
UD0066,615.64,617.64,0.013,0.18,40.0
UD0066,617.64,619.64,0.014,0.32,110.0
UD0066,619.64,621.64,0.045,0.83,20.0
UD0066,621.64,623.65,0.014,0.88,25.0
UD0066,623.65,625.65,0.079,1.02,36.0
UD0067,16.25,18.24,0.07,0.4,134.0
UD0067,18.24,20.23,0.005,0.25,60.0
UD0067,20.23,22.21,0.005,2.36,24.0
UD0067,22.21,24.2,0.005,0.49,23.0
UD0067,24.2,26.19,0.018,0.41,37.0
UD0067,26.19,28.18,0.055,2.02,27.0
UD0067,28.18,30.17,0.008,0.16,9.0
UD0067,30.17,32.15,0.01,0.34,20.0
UD0067,32.15,34.14,0.007,0.77,61.0
UD0067,34.14,36.13,0.005,0.6,58.0
UD0067,36.13,38.12,0.013,0.7,18.0
UD0067,38.12,40.1,0.01,0.11,19.0
UD0067,40.1,42.09,0.005,1.69,16.0
UD0067,42.09,44.08,0.011,0.88,38.0
UD0067,44.08,46.07,0.005,0.4,8.0
UD0067,46.07,48.06,0.005,0.48,31.0
UD0067,48.06,50.04,0.008,0.49,37.0
UD0067,50.04,52.03,0.012,0.57,75.0
UD0067,52.03,54.02,0.029,0.28,44.0
UD0067,54.02,56.01,0.006,0.29,13.0
UD0067,56.01,58.0,0.014,0.24,13.0
UD0067,58.0,59.98,0.08,2.94,64.0
UD0067,59.98,61.97,0.015,0.43,21.0
UD0067,61.97,63.96,0.005,0.28,19.0
UD0067,63.96,65.95,0.005,0.28,7.0
UD0067,65.95,67.94,0.006,0.12,12.0
UD0067,67.94,69.92,0.005,0.24,9.0
UD0067,69.92,71.91,0.013,1.15,18.0
UD0067,71.91,73.9,0.008,0.84,21.0
UD0067,73.9,75.89,0.005,0.05,14.0
UD0067,75.89,77.88,0.015,0.47,44.0
UD0067,77.88,79.86,0.114,4.52,100.0
UD0067,79.86,81.85,0.011,0.43,32.0
UD0067,81.85,83.84,0.005,1.16,36.0
UD0067,83.84,85.83,0.121,2.23,53.0
UD0067,85.83,87.81,0.016,0.46,72.0
UD0067,87.81,89.8,0.031,1.06,73.0
UD0067,89.8,91.79,0.101,2.53,79.0
UD0067,91.79,93.78,0.012,0.98,33.0
UD0067,93.78,95.77,0.011,1.68,56.0
UD0067,95.77,97.75,0.016,1.79,28.0
UD0067,97.75,99.74,0.005,0.71,6.0
UD0067,99.74,101.73,0.051,0.44,32.0
UD0067,101.73,103.72,0.005,0.6,16.0
UD0067,103.72,105.71,0.007,0.34,65.0
UD0067,105.71,107.69,0.025,0.7,28.0
UD0067,107.69,109.68,0.007,0.5,14.0
UD0067,109.68,111.67,0.008,0.67,30.0
UD0067,111.67,113.66,0.005,0.31,69.0
UD0067,113.66,115.65,0.008,0.29,11.0
UD0067,115.65,117.63,0.036,0.79,46.0
UD0067,117.63,119.62,0.02,1.48,16.0
UD0067,119.62,121.61,0.021,0.89,14.0
UD0067,121.61,123.6,0.008,0.4,7.0
UD0067,123.6,125.58,0.005,0.3,26.0
UD0067,125.58,127.57,0.011,0.44,32.0
UD0067,127.57,129.56,0.005,1.06,11.0
UD0067,129.56,131.55,0.005,0.12,51.0
UD0067,131.55,133.54,0.015,1.56,87.0
UD0067,133.54,135.52,0.015,0.13,15.0
UD0067,135.52,137.51,0.013,0.19,12.0
UD0067,137.51,139.5,0.006,0.12,94.0
UD0067,139.5,140.38,0.233,0.86,387.0
UD0067,140.38,141.25,0.695,3.61,310.0
UD0067,141.25,142.25,4.257,79.34,184.0
UD0067,142.25,143.12,2.117,31.67,1428.0
UD0067,143.12,144.0,3.788,51.31,1256.0
UD0067,144.0,145.92,0.044,0.69,31.0
UD0067,145.92,147.83,0.038,2.22,42.0
UD0067,147.83,149.75,0.011,1.11,38.0
UD0067,149.75,151.67,0.007,1.03,19.0
UD0067,151.67,153.58,0.005,0.29,5.0
UD0067,153.58,155.5,0.007,0.14,8.0
UD0067,155.5,157.42,0.005,0.17,22.0
UD0067,157.42,159.33,0.005,0.12,9.0
UD0067,159.33,161.25,0.033,0.83,13.0
UD0067,161.25,163.17,0.005,1.17,9.0
UD0067,163.17,165.08,0.011,0.94,34.0
UD0067,165.08,167.0,0.007,0.23,10.0
UD0067,167.0,168.0,0.083,4.5,97.0
UD0067,168.0,169.0,0.442,10.7,161.0
UD0067,169.0,169.75,11.639,137.17,418.0
UD0067,169.75,170.75,1.536,23.88,145.0
UD0067,170.75,171.75,1.533,11.59,240.0
UD0067,171.75,173.77,0.007,0.45,15.0
UD0067,173.77,175.79,0.295,7.1,113.0
UD0067,175.79,177.81,0.009,1.59,21.0
UD0067,177.81,179.83,0.005,1.16,48.0
UD0067,179.83,181.85,0.005,0.45,27.0
UD0067,181.85,183.87,0.075,1.76,36.0
UD0067,183.87,185.88,0.005,0.46,15.0
UD0067,185.88,187.9,0.091,4.79,242.0
UD0067,187.9,189.92,0.022,0.47,62.0
UD0067,189.92,191.94,0.037,1.17,40.0
UD0067,191.94,193.96,0.005,0.62,13.0
UD0067,193.96,195.98,0.005,0.31,6.0
UD0067,195.98,198.0,0.012,0.41,8.0
UD0067,198.0,200.02,0.009,1.16,43.0
UD0067,200.02,202.04,0.005,0.3,17.0
UD0067,202.04,204.06,0.007,0.49,54.0
UD0067,204.06,206.08,0.017,0.31,43.0
UD0067,206.08,208.1,0.021,1.9,20.0
UD0067,208.1,210.12,0.014,0.2,17.0
UD0067,210.12,212.13,0.046,1.59,56.0
UD0067,212.13,214.15,0.17,5.73,141.0
UD0067,214.15,216.17,0.038,0.73,121.0
UD0067,216.17,218.19,0.039,1.52,106.0
UD0067,218.19,220.21,0.134,4.49,56.0
UD0067,220.21,222.23,0.054,1.44,25.0
UD0067,222.23,224.25,0.03,0.78,86.0
UD0067,224.25,225.25,12.3,176.41,822.0
UD0067,225.25,226.25,3.132,36.79,524.0
UD0067,226.25,227.5,4.714,46.33,242.0
UD0067,227.5,228.75,2.915,39.72,280.0
UD0067,228.75,229.75,0.363,2.92,450.0
UD0067,229.75,230.75,0.095,1.17,250.0
UD0067,230.75,232.77,0.018,1.29,15.0
UD0067,232.77,234.78,0.035,1.79,32.0
UD0067,234.78,236.8,0.077,2.31,23.0
UD0067,236.8,238.82,0.044,1.43,38.0
UD0067,238.82,240.84,0.081,1.31,25.0
UD0067,240.84,242.85,0.094,3.11,45.0
UD0067,242.85,244.87,0.005,0.1,11.0
UD0067,244.87,246.89,0.005,1.25,14.0
UD0067,246.89,248.91,0.018,0.54,23.0
UD0067,248.91,250.92,0.008,0.51,15.0
UD0067,250.92,252.94,0.008,0.13,10.0
UD0067,252.94,254.96,0.005,0.16,18.0
UD0067,254.96,256.97,0.048,3.25,55.0
UD0067,256.97,258.99,0.099,0.97,48.0
UD0067,258.99,261.01,0.01,0.61,71.0
UD0067,261.01,263.03,0.008,0.9,27.0
UD0067,263.03,265.04,0.01,0.56,35.0
UD0067,265.04,267.06,0.008,0.49,28.0
UD0067,267.06,269.08,0.043,0.91,49.0
UD0067,269.08,271.09,0.018,0.8,189.0
UD0067,271.09,273.11,0.007,0.34,19.0
UD0067,273.11,275.13,0.006,0.6,7.0
UD0067,275.13,277.15,0.008,0.52,16.0
UD0067,277.15,279.16,0.019,0.55,108.0
UD0067,279.16,281.18,0.031,0.26,33.0
UD0067,281.18,283.2,0.113,3.68,18.0
UD0067,283.2,285.22,0.005,0.62,26.0
UD0067,285.22,287.23,0.013,0.26,38.0
UD0067,287.23,289.25,0.005,0.19,54.0
UD0067,289.25,290.12,0.067,0.51,293.0
UD0067,290.12,291.0,0.249,1.14,226.0
UD0067,291.0,292.25,5.715,24.31,214.0
UD0067,292.25,293.25,0.089,0.66,353.0
UD0067,293.25,294.25,0.631,13.17,168.0
UD0067,294.25,296.22,0.005,0.37,7.0
UD0067,296.22,298.19,0.024,0.49,18.0
UD0067,298.19,300.17,0.005,0.13,42.0
UD0067,300.17,302.14,0.005,0.45,13.0
UD0067,302.14,304.11,0.012,0.3,33.0
UD0067,304.11,306.08,0.009,0.25,204.0
UD0067,306.08,308.05,0.005,1.81,76.0
UD0067,308.05,310.02,0.005,0.63,37.0
UD0067,310.02,312.0,0.015,0.27,103.0
UD0067,312.0,313.97,0.005,0.47,16.0
UD0067,313.97,315.94,0.065,1.55,31.0
UD0067,315.94,317.91,0.013,0.22,52.0
UD0067,317.91,319.88,0.195,3.66,171.0
UD0067,319.88,321.85,0.018,0.43,19.0
UD0067,321.85,323.83,0.03,0.65,16.0
UD0067,323.83,325.8,0.009,0.93,53.0
UD0067,325.8,327.77,0.017,0.98,11.0
UD0067,327.77,329.74,0.005,0.19,9.0
UD0067,329.74,331.71,0.015,0.35,15.0
UD0067,331.71,333.68,0.01,0.26,60.0
UD0067,333.68,335.66,0.017,1.03,7.0
UD0067,335.66,337.63,0.221,5.24,85.0
UD0067,337.63,339.6,0.018,0.83,45.0
UD0067,339.6,341.57,0.008,0.23,19.0
UD0067,341.57,343.54,0.005,0.2,69.0
UD0067,343.54,345.51,0.005,0.37,56.0
UD0067,345.51,347.49,0.005,0.96,55.0
UD0067,347.49,349.46,0.038,1.43,46.0
UD0067,349.46,351.43,0.012,1.27,44.0
UD0067,351.43,353.4,0.012,0.99,16.0
UD0067,353.4,355.37,0.042,2.37,32.0
UD0067,355.37,357.35,0.012,0.96,67.0
UD0068,41.75,42.75,0.005,0.46,11.0
UD0068,42.75,43.75,0.054,3.06,385.0
UD0068,43.75,44.75,0.351,4.23,332.0
UD0068,44.75,46.0,7.693,39.18,160.0
UD0068,46.0,47.25,1.172,10.76,80.0
UD0068,47.25,48.25,0.041,0.82,58.0
UD0068,48.25,49.25,0.228,2.9,108.0
UD0068,49.25,51.26,0.019,2.71,16.0
UD0068,51.26,53.26,0.047,1.27,44.0
UD0068,53.26,55.27,0.141,2.16,34.0
UD0068,55.27,57.28,0.021,0.29,30.0
UD0068,57.28,59.29,0.093,1.57,26.0
UD0068,59.29,61.29,0.029,0.95,88.0
UD0068,61.29,63.3,0.007,0.11,42.0
UD0068,63.3,65.31,0.024,0.82,73.0
UD0068,65.31,67.32,0.016,0.31,63.0
UD0068,67.32,69.32,0.02,0.09,12.0
UD0068,69.32,71.33,0.005,0.24,14.0
UD0068,71.33,73.34,0.014,0.38,48.0
UD0068,73.34,75.35,0.016,0.98,87.0
UD0068,75.35,77.35,0.021,1.55,26.0
UD0068,77.35,79.36,0.168,3.78,149.0
UD0068,79.36,81.37,0.143,3.87,80.0
UD0068,81.37,83.38,0.057,0.76,264.0
UD0068,83.38,85.38,0.049,0.45,58.0
UD0068,85.38,87.39,0.006,0.31,36.0
UD0068,87.39,89.4,0.017,0.51,123.0
UD0068,89.4,91.4,0.006,0.46,104.0
UD0068,91.4,93.41,0.005,0.82,15.0
UD0068,93.41,95.42,0.01,0.86,38.0
UD0068,95.42,97.43,0.005,0.52,21.0
UD0068,97.43,99.43,0.033,1.23,47.0
UD0068,99.43,101.44,0.019,0.25,31.0
UD0068,101.44,103.45,0.097,1.53,22.0
UD0068,103.45,105.46,0.077,1.26,54.0
UD0068,105.46,107.46,0.005,0.44,12.0
UD0068,107.46,109.47,0.006,1.13,17.0
UD0068,109.47,111.48,0.005,0.06,19.0
UD0068,111.48,113.49,0.005,0.4,16.0
UD0068,113.49,115.49,0.072,1.12,117.0
UD0068,115.49,117.5,0.005,0.27,13.0
UD0068,117.5,118.62,0.449,6.09,122.0
UD0068,118.62,119.75,0.438,8.41,308.0
UD0068,119.75,120.69,10.229,96.9,341.0
UD0068,120.69,121.62,6.018,38.54,437.0
UD0068,121.62,122.56,6.294,30.63,445.0
UD0068,122.56,123.5,10.437,33.62,601.0
UD0068,123.5,124.75,0.852,1.96,123.0
UD0068,124.75,126.0,7.769,221.9,190.0
UD0068,126.0,128.03,0.022,1.02,23.0
UD0068,128.03,130.06,0.163,3.47,68.0
UD0068,130.06,132.09,0.005,0.61,20.0
UD0069,9.5,11.51,0.012,3.27,25.0
UD0069,11.51,13.51,0.007,0.41,54.0
UD0069,13.51,15.52,0.009,0.34,20.0
UD0069,15.52,17.53,0.027,0.2,95.0
UD0069,17.53,19.54,0.011,0.95,15.0
UD0069,19.54,21.54,0.005,0.08,21.0
UD0069,21.54,23.55,0.005,0.45,8.0
UD0069,23.55,25.56,0.028,0.41,19.0
UD0069,25.56,27.56,0.006,0.09,11.0
UD0069,27.56,29.57,0.024,0.48,21.0
UD0069,29.57,31.58,0.005,0.21,15.0
UD0069,31.58,33.58,0.005,0.43,19.0
UD0069,33.58,35.59,0.018,0.43,10.0
UD0069,35.59,37.6,0.02,0.39,33.0
UD0069,37.6,39.61,0.074,2.78,20.0
UD0069,39.61,41.61,0.023,0.52,19.0
UD0069,41.61,43.62,0.018,0.56,44.0
UD0069,43.62,45.63,0.101,2.52,59.0
UD0069,45.63,47.63,0.008,0.1,40.0
UD0069,47.63,49.64,0.005,0.81,34.0
UD0069,49.64,51.65,0.011,1.07,12.0
UD0069,51.65,53.65,0.032,1.07,31.0
UD0069,53.65,55.66,0.005,0.61,6.0
UD0069,55.66,57.67,0.213,8.33,61.0
UD0069,57.67,59.68,0.057,2.42,23.0
UD0069,59.68,61.68,0.008,1.4,11.0
UD0069,61.68,63.69,0.016,2.91,25.0
UD0069,63.69,65.7,0.008,1.24,45.0
UD0069,65.7,67.7,0.023,1.68,73.0
UD0069,67.7,69.71,0.005,0.74,45.0
UD0069,69.71,71.72,0.02,1.2,107.0
UD0069,71.72,73.73,0.023,0.75,71.0
UD0069,73.73,75.73,0.013,0.37,22.0
UD0069,75.73,77.74,0.012,1.13,34.0
UD0069,77.74,79.75,0.083,2.27,45.0
UD0069,79.75,81.75,0.051,0.7,120.0
UD0069,81.75,83.76,0.038,0.84,71.0
UD0069,83.76,85.77,0.069,1.21,105.0
UD0069,85.77,87.77,0.011,0.31,51.0
UD0069,87.77,89.78,0.005,1.1,13.0
UD0069,89.78,91.79,0.015,0.22,11.0
UD0069,91.79,93.8,0.005,0.5,24.0
UD0069,93.8,95.8,0.005,0.98,13.0
UD0069,95.8,97.81,0.012,0.32,19.0
UD0069,97.81,99.82,0.029,0.43,21.0
UD0069,99.82,101.82,0.009,0.14,8.0
UD0069,101.82,103.83,0.037,0.69,66.0
UD0069,103.83,105.84,0.005,0.27,11.0
UD0069,105.84,107.85,0.036,0.24,20.0
UD0069,107.85,109.85,0.005,0.3,7.0
UD0069,109.85,111.86,0.019,0.7,54.0
UD0069,111.86,113.87,0.005,0.07,11.0
UD0069,113.87,115.87,0.06,1.12,39.0
UD0069,115.87,117.88,0.022,0.24,34.0
UD0069,117.88,119.89,0.01,0.27,75.0
UD0069,119.89,121.89,0.007,0.73,21.0
UD0069,121.89,123.9,0.005,0.08,42.0
UD0069,123.9,125.91,0.005,0.31,15.0
UD0069,125.91,127.92,0.014,0.39,18.0
UD0069,127.92,129.92,0.005,1.03,34.0
UD0069,129.92,131.93,0.005,0.34,5.0
UD0069,131.93,133.94,0.005,0.66,42.0
UD0069,133.94,135.94,0.005,0.13,30.0
UD0069,135.94,137.95,0.005,0.45,29.0
UD0069,137.95,139.96,0.02,0.32,25.0
UD0069,139.96,141.96,0.009,0.65,17.0
UD0069,141.96,143.97,0.024,0.12,35.0
UD0069,143.97,145.98,0.076,1.18,94.0
UD0069,145.98,147.99,0.007,0.54,29.0
UD0069,147.99,149.99,0.007,0.34,7.0
UD0069,149.99,152.0,0.012,0.3,9.0
UD0069,152.0,154.01,0.005,0.55,29.0
UD0069,154.01,156.01,0.006,0.27,22.0
UD0069,156.01,158.02,0.039,0.41,46.0
UD0069,158.02,160.03,0.018,0.15,77.0
UD0069,160.03,162.04,0.018,0.62,79.0
UD0069,162.04,164.04,0.006,0.42,37.0
UD0069,164.04,166.05,0.008,0.26,37.0
UD0069,166.05,168.06,0.137,1.65,71.0
UD0069,168.06,170.06,0.051,0.42,21.0
UD0069,170.06,172.07,0.015,0.32,31.0
UD0069,172.07,174.08,0.005,0.41,17.0
UD0069,174.08,176.08,0.006,0.38,26.0
UD0069,176.08,178.09,0.043,0.35,83.0
UD0069,178.09,180.1,0.005,0.26,15.0
UD0069,180.1,182.11,0.005,0.27,14.0
UD0069,182.11,184.11,0.008,0.84,49.0
UD0069,184.11,186.12,0.005,1.4,7.0
UD0069,186.12,188.13,0.051,2.22,50.0
UD0069,188.13,190.13,0.005,0.77,3.0
UD0069,190.13,192.14,0.005,1.13,24.0
UD0069,192.14,194.15,0.005,0.3,35.0
UD0069,194.15,196.15,0.021,0.48,48.0
UD0069,196.15,198.16,0.008,0.11,33.0
UD0069,198.16,200.17,0.009,0.24,8.0
UD0069,200.17,202.18,0.028,0.32,20.0
UD0069,202.18,204.18,0.044,1.82,69.0
UD0069,204.18,206.19,0.015,0.69,31.0
UD0069,206.19,208.2,0.021,0.34,58.0
UD0069,208.2,210.2,0.005,1.06,30.0
UD0069,210.2,212.21,0.005,0.86,39.0
UD0069,212.21,214.22,0.005,0.44,44.0
UD0069,214.22,216.23,0.005,0.12,22.0
UD0069,216.23,218.23,0.01,0.56,15.0
UD0069,218.23,220.24,0.086,2.26,137.0
UD0069,220.24,222.25,0.122,3.04,139.0
UD0069,222.25,224.25,0.031,0.39,60.0
UD0069,224.25,226.26,0.012,0.49,39.0
UD0069,226.26,228.27,0.005,0.56,26.0
UD0069,228.27,230.27,0.036,1.14,23.0
UD0069,230.27,232.28,0.043,4.04,39.0
UD0069,232.28,234.29,0.262,8.54,183.0
UD0069,234.29,236.3,0.033,0.98,63.0
UD0069,236.3,238.3,0.005,0.23,13.0
UD0069,238.3,240.31,0.016,0.27,18.0
UD0069,240.31,242.32,0.006,0.24,21.0
UD0069,242.32,244.32,0.005,0.14,16.0
UD0069,244.32,246.33,0.098,0.55,19.0
UD0069,246.33,248.34,0.023,0.41,66.0
UD0069,248.34,250.35,0.045,1.1,48.0
