WELL,X,Y,Z,FACIES,POROSITY,PERM_MD,AI_SEISMIC
R15,4075.0,1225.0,18.5,0,0.056,0.025,10.45
R15,4075.0,1225.0,19.5,0,0.0486,0.031,10.482
R15,4075.0,1225.0,20.5,0,0.0517,0.012,10.51
R15,4075.0,1225.0,21.5,0,0.0768,0.062,10.535
R15,4075.0,1225.0,22.5,0,0.0435,0.01,10.558
R15,4075.0,1225.0,23.5,0,0.0563,0.067,10.579
R15,4075.0,1225.0,24.5,0,0.0896,0.022,10.6
R15,4075.0,1225.0,25.5,0,0.0379,0.013,10.618
R15,4075.0,1225.0,26.5,0,0.0294,0.004,10.632
R15,4075.0,1225.0,27.5,0,0.0388,0.016,10.642
R15,4075.0,1225.0,28.5,0,0.064,0.024,10.647
R15,4075.0,1225.0,29.5,0,0.0517,0.017,10.649
R16,4425.0,175.0,0.5,0,0.0575,0.026,10.475
R16,4425.0,175.0,1.5,0,0.0295,0.004,10.415
R16,4425.0,175.0,2.5,0,0.0624,0.021,10.294
R16,4425.0,175.0,3.5,0,0.0537,0.022,10.119
R16,4425.0,175.0,4.5,0,0.0751,0.043,9.905
R16,4425.0,175.0,5.5,0,0.0617,0.022,9.689
R16,4425.0,175.0,6.5,1,0.2407,214.432,9.513
R16,4425.0,175.0,7.5,1,0.2602,380.734,9.42
R16,4425.0,175.0,8.5,1,0.2541,394.998,9.427
R16,4425.0,175.0,9.5,0,0.0412,0.024,9.521
R16,4425.0,175.0,10.5,0,0.0947,0.098,9.667
R16,4425.0,175.0,11.5,0,0.0848,0.051,9.819
R16,4425.0,175.0,12.5,0,0.0622,0.028,9.942
R16,4425.0,175.0,13.5,0,0.0507,0.017,10.02
R16,4425.0,175.0,14.5,3,0.1947,14.794,10.056
R16,4425.0,175.0,15.5,0,0.0666,0.043,10.061
R16,4425.0,175.0,16.5,0,0.0793,0.102,10.046
R16,4425.0,175.0,17.5,0,0.1239,0.312,10.02
R16,4425.0,175.0,18.5,0,0.0865,0.132,9.988
R16,4425.0,175.0,19.5,0,0.0224,0.006,9.954
R16,4425.0,175.0,20.5,2,0.1452,2.677,9.925
R16,4425.0,175.0,21.5,2,0.1831,23.575,9.903
R16,4425.0,175.0,22.5,0,0.0937,0.019,9.895
R16,4425.0,175.0,23.5,0,0.0769,0.036,9.904
R16,4425.0,175.0,24.5,0,0.0781,0.096,9.937
R16,4425.0,175.0,25.5,2,0.1981,13.418,9.994
R16,4425.0,175.0,26.5,0,0.0758,0.045,10.072
R16,4425.0,175.0,27.5,0,0.0847,0.079,10.158
R16,4425.0,175.0,28.5,0,0.0458,0.029,10.232
R16,4425.0,175.0,29.5,0,0.0646,0.025,10.275
R17,4575.0,3075.0,0.5,0,0.0417,0.022,10.467
R17,4575.0,3075.0,1.5,0,0.0692,0.065,10.469
R17,4575.0,3075.0,2.5,0,0.0813,0.046,10.473
R17,4575.0,3075.0,3.5,0,0.0738,0.135,10.48
R17,4575.0,3075.0,4.5,0,0.0565,0.018,10.488
R17,4575.0,3075.0,5.5,0,0.0646,0.036,10.495
R17,4575.0,3075.0,6.5,0,0.0594,0.022,10.497
R17,4575.0,3075.0,7.5,0,0.0432,0.013,10.492
R17,4575.0,3075.0,8.5,0,0.0734,0.028,10.482
R17,4575.0,3075.0,9.5,0,0.0578,0.035,10.47
R17,4575.0,3075.0,10.5,0,0.0805,0.035,10.461
R17,4575.0,3075.0,11.5,0,0.0606,0.019,10.456
R17,4575.0,3075.0,12.5,0,0.0434,0.019,10.452
R17,4575.0,3075.0,13.5,0,0.032,0.018,10.439
R17,4575.0,3075.0,14.5,0,0.0501,0.029,10.407
R17,4575.0,3075.0,15.5,0,0.0755,0.114,10.345
R17,4575.0,3075.0,16.5,0,0.0641,0.028,10.253
R17,4575.0,3075.0,17.5,0,0.0782,0.065,10.139
R17,4575.0,3075.0,18.5,0,0.0719,0.018,10.024
R17,4575.0,3075.0,19.5,0,0.0781,0.062,9.935
R17,4575.0,3075.0,20.5,3,0.1844,14.289,9.896
R17,4575.0,3075.0,21.5,3,0.1424,6.199,9.918
R17,4575.0,3075.0,22.5,0,0.039,0.018,9.992
R17,4575.0,3075.0,23.5,0,0.0489,0.034,10.095
R17,4575.0,3075.0,24.5,0,0.0455,0.013,10.197
R17,4575.0,3075.0,25.5,0,0.0546,0.011,10.277
R17,4575.0,3075.0,26.5,0,0.0533,0.012,10.325
R17,4575.0,3075.0,27.5,0,0.0671,0.036,10.344
R17,4575.0,3075.0,28.5,0,0.0746,0.034,10.346
R17,4575.0,3075.0,29.5,0,0.0929,0.028,10.343
R18,4825.0,2225.0,0.5,0,0.059,0.031,10.549
R18,4825.0,2225.0,1.5,0,0.0611,0.019,10.549
R18,4825.0,2225.0,2.5,0,0.0557,0.075,10.55
R18,4825.0,2225.0,3.5,0,0.0646,0.028,10.552
R18,4825.0,2225.0,4.5,0,0.0561,0.024,10.554
R18,4825.0,2225.0,5.5,0,0.081,0.03,10.553
R18,4825.0,2225.0,6.5,0,0.01,0.006,10.546
R18,4825.0,2225.0,7.5,0,0.0414,0.014,10.534
R18,4825.0,2225.0,8.5,0,0.0646,0.048,10.522
R18,4825.0,2225.0,9.5,0,0.1211,0.444,10.517
R18,4825.0,2225.0,10.5,0,0.1009,0.195,10.527
R18,4825.0,2225.0,11.5,0,0.0844,0.053,10.552
R18,4825.0,2225.0,12.5,0,0.0315,0.016,10.585
R18,4825.0,2225.0,13.5,0,0.0286,0.007,10.615
R18,4825.0,2225.0,14.5,0,0.0606,0.028,10.627
R18,4825.0,2225.0,15.5,0,0.0267,0.007,10.609
R18,4825.0,2225.0,16.5,0,0.0197,0.011,10.556
R18,4825.0,2225.0,17.5,0,0.0598,0.022,10.475
R18,4825.0,2225.0,18.5,0,0.047,0.003,10.38
R18,4825.0,2225.0,19.5,0,0.0592,0.042,10.297
R18,4825.0,2225.0,20.5,3,0.2039,46.508,10.248
R18,4825.0,2225.0,21.5,3,0.1745,21.306,10.246
R18,4825.0,2225.0,22.5,0,0.0466,0.011,10.289
R18,4825.0,2225.0,23.5,0,0.0485,0.013,10.359
R18,4825.0,2225.0,24.5,0,0.0484,0.022,10.436
R18,4825.0,2225.0,25.5,0,0.0194,0.008,10.498
R18,4825.0,2225.0,26.5,0,0.0409,0.013,10.538
R18,4825.0,2225.0,27.5,0,0.065,0.024,10.557
R18,4825.0,2225.0,28.5,0,0.0834,0.053,10.562
R18,4825.0,2225.0,29.5,0,0.0525,0.012,10.562
