ID,X,Y,CU_PPM,ZN_PPM,AU_PPB,AS_PPM,AU_BDL,AS_BDL
445,5742.4,9104.4,41.0,33.0,10.5,14.0,0,0
446,5802.0,9104.5,67.0,82.0,16.9,17.0,0,0
447,5851.8,9106.8,77.0,83.0,9.0,15.0,0,0
448,5897.5,9103.7,91.0,77.0,5.6,10.0,0,0
449,5954.9,9095.6,122.0,148.0,18.6,21.0,0,0
450,6008.2,9103.5,193.0,,26.7,40.0,0,0
451,6049.6,9098.4,77.0,130.0,4.0,10.0,0,0
452,6103.3,9102.8,120.0,67.0,15.4,15.0,0,0
453,6140.7,9101.8,181.0,77.0,6.9,42.0,0,0
454,6198.5,9098.9,76.0,,2.6,16.0,0,0
455,6241.0,9101.7,120.0,35.0,5.0,11.0,0,0
456,6303.3,9102.3,47.0,,3.8,10.0,0,0
457,6402.0,9097.6,68.0,43.0,5.8,5.0,0,0
458,6451.5,9101.9,57.0,67.0,13.2,5.0,0,0
459,6500.6,9106.2,77.0,,16.1,5.0,0,1
460,6546.2,9093.0,24.0,17.0,2.0,5.0,1,1
461,6603.7,9097.2,39.0,48.0,4.5,5.0,0,1
462,6645.1,9102.1,38.0,,2.0,6.0,1,0
463,6702.3,9093.9,48.0,,2.6,5.0,0,1
464,6748.7,9103.7,41.0,37.0,2.7,14.0,0,0
465,6808.5,9098.2,42.0,49.0,10.8,15.0,0,0
466,6856.4,9102.5,59.0,68.0,10.4,34.0,0,0
467,6898.7,9093.1,33.0,55.0,2.5,11.0,0,0
468,6948.8,9099.3,47.0,,5.1,25.0,0,0
469,7002.5,9097.8,65.0,,9.4,13.0,0,0
470,7050.3,9104.8,53.0,45.0,2.0,6.0,1,0
471,7106.4,9092.2,32.0,,2.0,12.0,1,0
472,7142.6,9097.2,41.0,63.0,3.1,13.0,0,0
473,7200.2,9105.7,30.0,34.0,2.2,8.0,0,0
474,7240.3,9095.5,33.0,37.0,2.0,12.0,1,0
475,7300.7,9097.7,40.0,126.0,2.3,10.0,0,0
476,7352.3,9101.3,58.0,75.0,8.0,5.0,0,1
477,7407.3,9098.0,50.0,66.0,18.8,7.0,0,0
478,7448.7,9101.6,55.0,38.0,2.0,25.0,1,0
479,7547.5,9105.0,33.0,,2.0,5.0,1,1
480,7602.1,9100.9,25.0,,2.0,5.0,1,1
481,7649.8,9094.9,43.0,,2.0,5.0,1,1
482,7701.2,9100.1,30.0,51.0,2.0,5.0,1,1
483,7746.6,9102.6,57.0,125.0,5.7,8.0,0,0
484,7800.2,9105.9,35.0,103.0,2.0,5.0,1,1
485,7853.3,9096.7,35.0,60.0,2.3,6.0,0,0
486,7900.3,9106.1,59.0,105.0,4.8,21.0,0,0
487,7950.6,9101.1,51.0,74.0,2.0,21.0,1,0
488,8006.1,9094.9,75.0,92.0,4.9,26.0,0,0
489,8045.9,9102.1,47.0,,6.4,8.0,0,0
490,8261.1,9103.0,22.0,94.0,2.0,5.0,0,1
491,8308.4,9099.2,29.0,42.0,2.0,5.0,1,0
492,8346.3,9108.3,39.0,,4.5,15.0,0,0
493,8400.7,9100.8,39.0,44.0,11.9,6.0,0,0
494,8452.9,9103.5,53.0,77.0,4.3,30.0,0,0
495,8500.2,9102.5,42.0,110.0,2.0,16.0,1,0
496,8548.9,9095.2,55.0,62.0,4.4,12.0,0,0
497,8602.0,9097.2,52.0,79.0,2.0,9.0,1,0
498,8652.1,9094.7,26.0,25.0,2.0,5.0,1,1
499,8696.4,9095.3,50.0,,2.5,8.0,0,0
500,8753.4,9101.8,53.0,82.0,4.3,51.0,0,0
501,8796.9,9099.4,29.0,45.0,2.0,5.0,1,0
502,3041.1,9294.9,75.0,,5.2,10.0,0,0
503,3153.1,9295.8,35.0,78.0,2.3,13.0,0,0
504,3199.4,9294.4,31.0,24.0,2.2,13.0,0,0
505,3253.7,9294.6,35.0,,2.0,5.0,1,0
506,3355.3,9301.5,45.0,,2.0,7.0,1,0
507,3404.5,9303.9,74.0,,22.0,7.0,0,0
508,3447.7,9295.6,40.0,93.0,2.0,8.0,1,0
509,3495.7,9300.5,52.0,102.0,2.9,11.0,0,0
510,3602.6,9301.9,75.0,120.0,5.8,8.0,0,0
511,3649.0,9300.5,56.0,147.0,3.0,7.0,0,0
512,3703.7,9299.5,52.0,,8.0,6.0,0,0
513,3746.3,9305.8,125.0,125.0,21.9,6.0,0,0
514,3798.3,9302.8,73.0,62.0,39.9,10.0,0,0
515,3850.1,9297.6,45.0,,2.0,5.0,1,0
516,3890.3,9304.9,26.0,42.0,2.0,11.0,1,0
517,3945.4,9301.6,23.0,,2.0,8.0,0,0
518,3997.3,9304.3,28.0,,2.0,5.0,1,1
519,4051.2,9294.8,20.0,,2.0,5.0,1,1
520,4098.9,9307.3,51.0,86.0,7.1,17.0,0,0
521,4151.9,9306.2,52.0,69.0,4.6,11.0,0,0
522,4201.4,9307.4,63.0,,2.6,8.0,0,0
523,4246.2,9303.5,37.0,158.0,2.0,7.0,1,0
524,4300.7,9299.4,29.0,104.0,2.0,5.0,1,1
525,4401.5,9301.2,48.0,94.0,3.6,8.0,0,0
526,4444.0,9298.2,42.0,71.0,2.0,15.0,1,0
527,4500.1,9301.7,47.0,93.0,13.1,38.0,0,0
528,4547.7,9298.2,44.0,,2.0,16.0,1,0
529,4601.3,9300.0,44.0,46.0,6.5,13.0,0,0
530,4645.0,9302.4,38.0,64.0,2.0,8.0,1,0
531,4751.7,9302.5,47.0,72.0,4.7,12.0,0,0
532,4797.2,9299.5,48.0,,3.4,6.0,0,0
533,4897.1,9292.0,70.0,,9.5,14.0,0,0
534,4948.8,9298.9,69.0,104.0,6.2,16.0,0,0
535,5002.4,9305.2,56.0,55.0,5.7,13.0,0,0
536,5048.8,9305.7,39.0,29.0,2.0,11.0,1,0
537,5095.8,9301.7,41.0,,2.2,6.0,0,0
538,5153.1,9304.7,69.0,31.0,2.4,17.0,0,0
539,5190.8,9305.7,52.0,50.0,2.0,14.0,1,0
540,5254.1,9296.7,17.0,,2.0,8.0,1,0
541,5297.6,9295.7,21.0,28.0,2.0,5.0,1,1
542,5345.4,9304.2,27.0,23.0,2.0,8.0,1,0
543,5395.6,9295.6,26.0,,2.0,5.0,1,0
544,5451.8,9300.1,44.0,,4.2,5.0,0,0
545,5506.3,9298.9,33.0,46.0,2.4,5.0,0,1
546,5553.3,9300.0,55.0,78.0,2.8,12.0,0,0
547,5606.2,9302.2,71.0,91.0,6.1,12.0,0,0
548,5654.6,9299.6,120.0,131.0,3.1,10.0,0,0
549,5698.8,9292.9,30.0,110.0,2.0,5.0,1,1
550,5753.6,9297.8,43.0,124.0,2.0,19.0,1,0
551,5799.9,9305.4,63.0,142.0,5.7,6.0,0,0
552,5848.5,9297.7,127.0,,3.2,64.0,0,0
553,5951.7,9305.1,101.0,141.0,26.2,15.0,0,0
554,5998.7,9297.2,149.0,,42.3,13.0,0,0
555,6053.9,9298.7,89.0,53.0,10.5,11.0,0,0
556,6092.4,9302.4,78.0,40.0,7.9,40.0,0,0
557,6150.0,9301.2,112.0,,7.6,16.0,0,0
558,6206.1,9300.7,86.0,41.0,5.1,25.0,0,0
559,6246.4,9297.0,94.0,,4.3,9.0,0,0
560,6296.5,9301.3,49.0,35.0,4.2,9.0,0,0
561,6355.3,9301.9,63.0,39.0,3.1,11.0,0,0
562,6394.2,9297.7,75.0,40.0,3.5,8.0,0,0
563,6446.1,9299.7,71.0,44.0,3.9,27.0,0,0
564,6497.6,9299.3,32.0,26.0,6.2,7.0,0,0
565,6549.3,9297.3,32.0,28.0,3.4,6.0,0,0
566,6592.7,9302.1,29.0,20.0,2.0,5.0,1,1
567,6650.0,9305.6,34.0,24.0,8.4,9.0,0,0
568,6704.6,9300.2,30.0,16.0,2.0,5.0,1,1
569,6745.1,9300.1,39.0,25.0,2.8,12.0,0,0
570,6796.7,9299.9,38.0,38.0,2.0,9.0,1,0
571,6847.1,9306.8,24.0,64.0,2.0,5.0,1,1
572,6898.6,9302.4,32.0,29.0,2.0,5.0,1,1
573,6945.1,9300.5,39.0,36.0,5.9,7.0,0,0
574,7005.5,9300.8,43.0,,3.4,7.0,0,0
575,7047.4,9302.8,37.0,,2.0,12.0,1,0
576,7100.8,9303.8,27.0,56.0,2.0,8.0,1,0
577,7154.7,9298.9,68.0,,2.0,11.0,1,0
578,7207.9,9305.9,31.0,58.0,2.1,15.0,0,0
579,7252.5,9296.7,19.0,,2.0,5.0,0,1
580,7304.6,9299.5,21.0,,2.0,5.0,1,1
581,7351.5,9299.6,32.0,97.0,2.0,5.0,1,1
582,7391.0,9303.2,33.0,84.0,2.0,5.0,1,0
583,7445.2,9298.8,46.0,93.0,2.2,5.0,0,1
584,7498.6,9302.4,29.0,,5.0,5.0,0,1
585,7547.4,9298.8,21.0,,2.0,8.0,1,0
586,7602.9,9299.9,18.0,38.0,2.0,5.0,0,1
587,7646.0,9294.4,19.0,35.0,2.0,5.0,1,1
588,7699.4,9302.6,36.0,91.0,3.3,5.0,0,1
589,7748.5,9295.9,30.0,,5.8,5.0,0,1
590,7797.3,9304.0,37.0,73.0,2.0,5.0,1,1
591,7842.2,9295.8,42.0,55.0,13.9,5.0,0,1
592,7893.6,9297.7,58.0,79.0,3.8,5.0,0,0
593,7950.0,9298.4,53.0,124.0,6.3,7.0,0,0
594,7998.4,9293.3,32.0,119.0,2.0,5.0,1,0
595,8049.7,9302.6,39.0,55.0,2.0,6.0,1,0
596,8095.7,9307.9,26.0,62.0,2.5,5.0,0,1
597,8150.3,9300.9,22.0,,2.0,5.0,1,1
598,8203.5,9289.9,47.0,,3.7,5.0,0,1
599,8252.5,9303.0,31.0,,2.6,5.0,0,1
600,8354.3,9298.1,33.0,78.0,2.0,5.0,1,1
601,8409.9,9304.7,36.0,82.0,2.0,9.0,1,0
602,8452.1,9297.0,37.0,101.0,2.0,23.0,1,0
603,8501.3,9302.2,47.0,77.0,2.0,10.0,1,0
604,8551.7,9293.6,44.0,94.0,2.0,12.0,1,0
605,8598.4,9301.4,37.0,,2.5,9.0,0,0
606,8647.5,9299.1,72.0,69.0,12.4,15.0,0,0
607,8701.6,9299.4,47.0,76.0,2.4,10.0,0,0
608,8746.3,9293.9,29.0,31.0,2.0,5.0,1,1
609,3149.8,9493.5,57.0,102.0,4.6,15.0,0,0
610,3198.3,9499.6,137.0,152.0,14.6,13.0,0,0
611,3253.2,9501.0,63.0,50.0,2.3,27.0,0,0
612,3296.0,9495.6,34.0,32.0,2.0,7.0,1,0
613,3350.6,9496.0,72.0,107.0,2.2,10.0,0,0
614,3397.2,9501.3,33.0,51.0,3.0,10.0,0,0
615,3449.0,9501.8,28.0,65.0,2.0,13.0,1,0
616,3491.4,9495.2,42.0,67.0,2.5,7.0,0,0
617,3550.6,9500.2,42.0,54.0,2.1,5.0,0,1
618,3592.3,9500.9,63.0,168.0,2.2,5.0,0,1
619,3643.4,9492.9,50.0,159.0,2.2,5.0,0,1
620,3702.9,9496.8,66.0,,9.6,6.0,0,0
621,3752.4,9498.5,55.0,112.0,4.6,9.0,0,0
622,3809.1,9503.0,50.0,267.0,6.6,5.0,0,1
623,3846.9,9501.6,67.0,,9.0,11.0,0,0
624,3893.7,9503.0,80.0,340.0,5.1,12.0,0,0
625,3945.4,9498.0,57.0,172.0,5.4,5.0,0,1
626,4005.3,9502.3,50.0,188.0,2.0,11.0,1,0
627,4044.5,9504.4,44.0,159.0,2.0,23.0,1,0
628,4090.5,9502.9,69.0,183.0,6.5,29.0,0,0
629,4155.3,9501.2,24.0,,2.0,5.0,1,1
630,4199.2,9507.0,34.0,,2.0,6.0,1,0
631,4252.2,9502.7,22.0,51.0,3.4,5.0,0,1
632,4295.8,9494.8,22.0,40.0,2.0,6.0,1,0
633,4348.5,9497.0,32.0,,2.0,7.0,1,0
634,4400.0,9497.9,35.0,58.0,5.9,11.0,0,0
635,4453.3,9506.8,27.0,57.0,2.0,10.0,1,0
636,4499.9,9495.4,19.0,,2.0,5.0,1,1
637,4553.4,9506.0,35.0,102.0,2.2,9.0,0,0
638,4599.7,9497.7,58.0,72.0,2.7,20.0,0,0
639,4647.0,9494.2,50.0,62.0,5.7,13.0,0,0
640,4700.0,9504.7,54.0,,2.0,13.0,1,0
641,4750.0,9496.8,58.0,67.0,2.0,10.0,1,0
642,4797.6,9501.1,44.0,71.0,2.0,7.0,1,0
643,4850.2,9499.7,48.0,71.0,5.9,16.0,0,0
644,4896.3,9498.6,40.0,,2.7,10.0,0,0
645,4947.4,9495.3,37.0,,2.7,6.0,0,0
646,5001.9,9499.3,46.0,37.0,5.5,11.0,0,0
647,5050.1,9498.4,34.0,,3.1,13.0,0,0
648,5106.1,9495.2,24.0,28.0,2.0,5.0,1,1
649,5153.8,9500.5,35.0,,6.6,8.0,0,0
650,5195.5,9503.0,30.0,45.0,2.0,5.0,1,0
651,5252.4,9502.7,40.0,27.0,2.0,6.0,1,0
652,5299.8,9505.0,35.0,39.0,2.2,5.0,0,0
653,5354.6,9502.4,25.0,35.0,2.0,5.0,1,1
654,5395.0,9496.9,54.0,89.0,2.0,6.0,0,0
655,5500.8,9502.1,44.0,73.0,3.5,6.0,0,0
656,5556.6,9494.3,65.0,,2.6,5.0,0,1
657,5599.9,9500.8,41.0,132.0,2.0,5.0,1,1
658,5695.2,9500.4,66.0,145.0,2.3,9.0,0,0
659,5749.0,9501.8,82.0,,5.0,6.0,0,0
660,5795.2,9498.7,116.0,151.0,12.2,9.0,0,0
661,5849.0,9501.9,85.0,,4.6,7.0,0,0
662,5897.4,9499.0,96.0,,11.2,10.0,0,0
663,5951.8,9502.0,281.0,332.0,53.5,8.0,0,0
664,5992.6,9501.6,177.0,79.0,4.1,9.0,0,0
665,6048.3,9498.5,232.0,128.0,14.7,28.0,0,0
666,6098.4,9494.5,172.0,60.0,66.1,11.0,0,0
667,6197.5,9494.1,225.0,,11.5,24.0,0,0
668,6254.8,9499.7,109.0,,31.6,13.0,0,0
669,6299.7,9498.4,159.0,32.0,5.6,10.0,0,0
670,6352.2,9498.7,158.0,37.0,30.4,17.0,0,0
671,6399.3,9500.6,74.0,27.0,2.3,16.0,0,0
672,6464.3,9497.0,69.0,,4.9,13.0,0,0
673,6495.6,9501.9,61.0,28.0,2.0,12.0,1,0
674,6549.0,9499.7,38.0,,11.8,9.0,0,0
675,6655.6,9493.3,95.0,37.0,6.6,13.0,0,0
676,6698.4,9495.0,132.0,71.0,2.3,16.0,0,0
677,6749.8,9500.3,47.0,45.0,2.5,7.0,0,0
678,6798.9,9500.0,47.0,28.0,2.1,13.0,0,0
679,6843.5,9499.3,102.0,75.0,6.4,38.0,0,0
680,6900.7,9500.6,55.0,,2.4,10.0,0,0
681,6955.8,9508.4,70.0,44.0,8.9,12.0,0,0
682,7002.5,9498.5,43.0,29.0,3.0,25.0,0,0
683,7050.2,9500.0,72.0,54.0,3.1,18.0,0,0
684,7102.1,9503.5,34.0,,2.0,6.0,1,0
685,7146.4,9507.2,30.0,23.0,2.0,8.0,1,0
686,7196.8,9502.4,49.0,,2.0,25.0,1,0
687,7247.0,9496.6,29.0,,2.0,6.0,1,0
688,7299.1,9501.1,19.0,22.0,2.5,5.0,0,1
689,7348.3,9494.9,42.0,22.0,2.0,6.0,1,0
690,7394.3,9503.2,27.0,27.0,2.0,10.0,1,0
691,7447.9,9495.6,30.0,26.0,2.0,7.0,1,0
692,7507.6,9502.9,43.0,,2.0,7.0,1,0
693,7562.8,9497.0,34.0,,6.7,5.0,0,1
694,7601.1,9498.2,17.0,24.0,2.0,5.0,1,1
695,7648.5,9503.2,49.0,53.0,2.1,5.0,0,1
696,7706.7,9500.9,26.0,86.0,2.1,5.0,0,1
697,7749.2,9496.3,49.0,,9.0,6.0,0,0
698,7804.5,9502.3,22.0,42.0,3.2,5.0,0,1
699,7850.8,9499.1,35.0,27.0,2.0,5.0,1,1
700,7944.2,9500.2,29.0,36.0,2.0,5.0,1,1
701,8000.1,9505.0,42.0,57.0,4.0,5.0,0,1
702,8052.5,9500.1,49.0,73.0,3.6,6.0,0,0
703,8104.3,9504.8,25.0,48.0,4.0,5.0,0,1
704,8152.1,9495.9,41.0,121.0,2.2,5.0,0,0
705,8202.7,9500.5,29.0,,2.0,5.0,1,1
706,8250.4,9494.8,19.0,113.0,2.0,5.0,1,1
707,8299.0,9505.4,24.0,71.0,2.0,9.0,1,0
708,8350.0,9502.3,37.0,89.0,2.0,7.0,1,0
709,8398.4,9503.4,43.0,86.0,15.0,10.0,0,0
710,8450.2,9491.4,55.0,,2.0,8.0,1,0
711,8501.2,9499.0,27.0,,2.0,5.0,1,0
712,8552.3,9493.9,40.0,102.0,2.0,6.0,1,0
713,8595.1,9502.5,46.0,,7.4,7.0,0,0
714,8698.9,9497.2,30.0,,2.0,11.0,1,0
715,3308.1,9698.8,49.0,87.0,2.7,12.0,0,0
716,3354.2,9701.8,55.0,83.0,2.0,8.0,1,0
717,3397.0,9699.9,43.0,70.0,4.6,5.0,0,1
718,3448.2,9698.1,46.0,83.0,5.2,15.0,0,0
719,3498.1,9697.0,76.0,114.0,5.2,12.0,0,0
720,3556.3,9693.6,44.0,48.0,3.4,5.0,0,0
721,3600.2,9702.1,38.0,,2.0,5.0,1,1
722,3648.3,9699.4,85.0,,3.1,13.0,0,0
723,3701.6,9708.9,39.0,,2.0,7.0,1,0
724,3746.7,9707.4,37.0,,2.0,9.0,1,0
725,3794.4,9698.2,28.0,97.0,2.0,5.0,1,1
726,3851.1,9695.0,35.0,110.0,4.7,8.0,0,0
727,3899.6,9696.6,48.0,224.0,4.2,16.0,0,0
728,3949.6,9701.0,36.0,115.0,2.0,7.0,1,0
729,4001.5,9701.4,59.0,,5.1,16.0,0,0
730,4045.6,9701.2,57.0,,9.8,23.0,0,0
731,4098.6,9706.2,68.0,,3.0,12.0,0,0
732,4154.5,9697.0,43.0,97.0,2.1,11.0,0,0
733,4197.7,9700.4,50.0,,2.0,11.0,1,0
734,4252.4,9698.5,38.0,,2.0,5.0,1,1
735,4299.0,9699.5,34.0,99.0,5.9,6.0,0,0
736,4343.3,9697.0,34.0,,2.2,6.0,0,0
737,4402.6,9707.0,35.0,,2.0,9.0,1,0
738,4452.3,9700.6,26.0,106.0,2.0,5.0,1,1
739,4497.5,9699.9,45.0,113.0,2.2,7.0,0,0
740,4552.2,9704.8,28.0,190.0,2.6,5.0,0,1
741,4602.0,9701.9,29.0,,2.0,5.0,1,0
742,4642.3,9706.4,24.0,96.0,3.0,6.0,0,0
743,4697.1,9694.5,29.0,171.0,2.0,12.0,1,0
744,4741.4,9698.6,32.0,120.0,2.0,7.0,1,0
745,4853.6,9698.1,51.0,105.0,2.0,18.0,1,0
746,4902.6,9705.6,49.0,128.0,13.6,24.0,0,0
747,4950.9,9703.4,73.0,69.0,6.8,14.0,0,0
748,5007.0,9707.1,72.0,,5.2,11.0,0,0
749,5101.1,9705.3,38.0,51.0,2.0,5.0,1,1
750,5145.9,9699.5,37.0,51.0,2.0,6.0,1,0
751,5204.6,9701.2,23.0,33.0,2.0,5.0,1,1
752,5249.7,9698.5,25.0,35.0,2.0,5.0,1,1
753,5295.3,9702.7,26.0,44.0,2.0,6.0,1,0
754,5358.9,9698.7,19.0,43.0,2.0,5.0,1,1
755,5401.5,9703.1,43.0,130.0,4.9,9.0,0,0
756,5504.1,9693.9,57.0,130.0,3.8,5.0,0,0
757,5544.5,9697.4,56.0,127.0,3.7,5.0,0,1
758,5596.9,9701.8,56.0,83.0,2.4,7.0,0,0
759,5648.2,9693.1,57.0,,8.0,5.0,0,1
760,5699.0,9700.1,80.0,90.0,2.7,6.0,0,0
761,5747.7,9699.0,58.0,,14.7,6.0,0,0
762,5848.6,9696.2,65.0,91.0,8.3,5.0,0,0
763,5902.5,9699.0,105.0,119.0,25.1,5.0,0,0
764,5958.8,9703.1,91.0,50.0,5.8,6.0,0,0
765,5998.4,9703.2,93.0,41.0,4.2,5.0,0,0
766,6104.3,9701.7,89.0,40.0,5.1,9.0,0,0
767,6149.5,9704.0,86.0,52.0,2.0,8.0,1,0
768,6198.3,9701.5,125.0,96.0,88.6,5.0,0,0
769,6250.7,9703.5,218.0,246.0,22.1,17.0,0,0
770,6297.9,9699.3,155.0,156.0,5.9,13.0,0,0
771,6358.9,9703.9,190.0,92.0,8.8,23.0,0,0
772,6405.0,9699.2,190.0,50.0,8.4,33.0,0,0
773,6454.6,9700.2,230.0,85.0,11.4,16.0,0,0
774,6499.6,9705.9,120.0,46.0,7.4,12.0,0,0
775,6548.0,9700.6,106.0,100.0,50.2,13.0,0,0
776,6644.2,9707.7,62.0,39.0,5.2,21.0,0,0
777,6703.1,9694.3,143.0,,7.7,85.0,0,0
778,6750.3,9702.9,58.0,67.0,6.2,8.0,0,0
779,6804.6,9702.4,84.0,53.0,6.5,5.0,0,0
780,6900.8,9703.0,62.0,,2.0,6.0,1,0
781,6950.7,9707.2,36.0,26.0,8.8,5.0,0,1
782,6999.1,9704.1,72.0,32.0,2.0,6.0,1,0
783,7055.4,9703.0,58.0,,3.8,18.0,0,0
784,7100.4,9696.8,68.0,107.0,12.4,5.0,0,0
785,7148.7,9699.7,48.0,87.0,3.6,8.0,0,0
786,7247.9,9701.6,35.0,,2.0,5.0,1,1
787,7352.4,9699.6,36.0,64.0,2.0,5.0,1,1
788,7402.1,9698.1,25.0,74.0,2.0,5.0,1,1
789,7449.7,9700.4,38.0,,7.1,6.0,0,0
790,7549.9,9698.5,39.0,44.0,2.0,5.0,1,1
791,7599.9,9702.3,34.0,49.0,2.0,5.0,1,1
792,7646.7,9702.0,40.0,44.0,3.2,7.0,0,0
793,7706.7,9701.8,26.0,48.0,2.0,8.0,1,0
794,7756.3,9695.5,30.0,,2.0,5.0,1,1
795,7805.2,9698.6,37.0,,5.5,5.0,0,1
796,7848.3,9707.3,12.0,,2.0,5.0,1,1
797,7895.4,9705.8,14.0,37.0,2.0,5.0,1,1
798,7946.8,9691.5,23.0,20.0,2.0,5.0,1,1
799,7994.3,9707.0,23.0,25.0,2.0,5.0,1,1
800,8050.8,9699.1,19.0,,2.0,5.0,1,1
801,8095.4,9701.1,32.0,45.0,3.0,10.0,0,0
802,8139.8,9699.2,27.0,,2.0,5.0,1,1
803,8199.2,9697.7,84.0,,31.4,10.0,0,0
804,8256.4,9703.9,39.0,76.0,14.1,5.0,0,1
805,8291.0,9706.2,68.0,59.0,12.2,12.0,0,0
806,8360.4,9700.2,20.0,,2.0,5.0,1,1
807,8395.4,9696.5,29.0,108.0,2.0,5.0,1,1
808,8453.0,9700.3,19.0,163.0,2.0,5.0,1,1
809,8496.7,9701.0,25.0,82.0,2.0,5.0,1,1
810,8544.7,9702.1,18.0,63.0,2.0,5.0,1,1
811,8602.7,9690.7,25.0,,2.0,5.0,1,1
812,8649.4,9698.4,27.0,86.0,3.7,5.0,0,1
813,3345.0,9895.3,19.0,,2.0,5.0,1,1
814,3398.8,9903.3,10.0,28.0,2.0,9.0,1,0
815,3454.4,9900.9,12.0,28.0,2.0,5.0,1,1
816,3604.5,9902.7,63.0,74.0,3.2,13.0,0,0
817,3645.2,9896.3,76.0,68.0,5.4,14.0,0,0
818,3749.7,9895.8,61.0,,2.5,10.0,0,0
819,3794.5,9898.2,43.0,70.0,3.8,8.0,0,0
820,3851.9,9900.4,43.0,102.0,2.0,5.0,1,0
821,3897.3,9901.8,33.0,77.0,2.6,5.0,0,1
822,3942.2,9898.1,57.0,82.0,5.6,10.0,0,0
823,4004.9,9898.0,42.0,105.0,2.8,12.0,0,0
824,4045.0,9896.6,24.0,,2.0,6.0,1,0
825,4097.4,9891.7,54.0,122.0,2.4,7.0,0,0
826,4144.0,9892.7,54.0,,4.3,9.0,0,0
827,4191.2,9898.9,26.0,118.0,2.0,5.0,1,1
828,4296.3,9900.2,37.0,68.0,2.0,5.0,1,1
829,4351.9,9897.3,57.0,,4.6,7.0,0,0
830,4449.5,9901.2,33.0,83.0,2.0,7.0,1,0
831,4493.4,9896.2,37.0,107.0,2.0,14.0,1,0
832,4554.0,9899.1,24.0,203.0,2.0,5.0,1,1
833,4592.3,9896.8,24.0,105.0,2.0,6.0,1,0
834,4654.1,9899.2,27.0,,2.5,5.0,0,1
835,4698.3,9900.1,23.0,,2.0,5.0,1,1
836,4747.2,9903.8,35.0,68.0,3.4,8.0,0,0
837,4806.5,9898.8,35.0,131.0,2.0,5.0,1,0
838,4844.9,9897.6,16.0,42.0,2.0,7.0,1,0
839,4944.7,9900.9,36.0,60.0,4.5,5.0,0,1
840,5002.1,9902.9,53.0,34.0,2.0,8.0,1,0
841,5047.6,9898.9,42.0,21.0,2.2,13.0,0,0
842,5103.7,9899.1,56.0,,2.2,12.0,0,0
843,5152.9,9897.1,58.0,57.0,2.0,18.0,0,0
844,5201.7,9906.6,76.0,87.0,9.2,7.0,0,0
845,5240.1,9898.7,45.0,44.0,6.8,8.0,0,0
846,5297.7,9904.1,50.0,18.0,3.0,5.0,0,1
847,5349.2,9898.5,25.0,41.0,2.0,5.0,1,1
848,5402.4,9899.8,28.0,48.0,2.0,11.0,1,0
849,5448.8,9902.6,30.0,48.0,3.6,5.0,0,1
850,5495.7,9899.9,35.0,82.0,3.7,5.0,0,1
851,5556.2,9900.1,26.0,57.0,2.0,5.0,1,1
852,5596.8,9903.9,35.0,,2.0,5.0,1,1
853,5650.5,9892.1,65.0,,9.2,7.0,0,0
854,5700.7,9900.9,81.0,123.0,5.4,5.0,0,1
855,5746.1,9902.4,73.0,,9.8,5.0,0,1
856,5800.4,9900.7,92.0,345.0,3.5,5.0,0,1
857,5853.7,9901.2,59.0,97.0,14.4,5.0,0,0
858,5896.3,9900.0,65.0,,5.0,5.0,0,1
859,5948.2,9900.5,99.0,,7.3,5.0,0,1
860,5998.9,9895.4,59.0,53.0,3.2,5.0,0,1
861,6051.7,9898.4,108.0,47.0,10.6,5.0,0,1
862,6104.9,9893.7,105.0,56.0,40.1,6.0,0,0
863,6153.0,9903.9,51.0,,2.0,5.0,1,1
864,6196.8,9901.1,90.0,,7.4,11.0,0,0
865,6245.9,9895.0,155.0,,31.0,13.0,0,0
866,6301.8,9906.9,84.0,154.0,3.9,9.0,0,0
867,6353.2,9898.6,74.0,93.0,2.3,7.0,0,0
868,6400.2,9901.6,130.0,95.0,4.1,16.0,0,0
869,6451.8,9902.0,154.0,68.0,5.2,31.0,0,0
870,6601.9,9895.0,122.0,98.0,8.8,10.0,0,0
871,6655.6,9902.2,143.0,58.0,11.5,21.0,0,0
872,6700.9,9898.3,98.0,56.0,7.6,16.0,0,0
873,6747.4,9902.0,95.0,58.0,12.4,13.0,0,0
874,6798.5,9895.9,180.0,93.0,20.4,40.0,0,0
875,6857.2,9901.5,145.0,,7.6,17.0,0,0
876,6894.1,9903.1,86.0,,5.6,10.0,0,0
877,6948.2,9902.3,72.0,46.0,5.4,18.0,0,0
878,6997.8,9901.2,85.0,93.0,7.4,8.0,0,0
879,7052.8,9906.0,91.0,,8.6,11.0,0,0
880,7100.7,9896.4,56.0,,14.6,13.0,0,0
881,7151.9,9902.0,48.0,,4.3,6.0,0,0
882,7199.7,9898.2,69.0,188.0,4.6,13.0,0,0
883,7246.7,9895.1,60.0,,12.5,7.0,0,0
884,7295.3,9907.5,21.0,38.0,2.0,5.0,1,0
885,7351.2,9902.2,22.0,81.0,3.6,8.0,0,0
886,7392.6,9900.6,39.0,161.0,3.5,6.0,0,0
887,7446.3,9899.8,27.0,114.0,3.1,5.0,0,1
888,7504.6,9896.2,33.0,71.0,2.4,8.0,0,0
889,7555.1,9896.6,34.0,56.0,2.0,6.0,1,0
890,7595.7,9895.5,60.0,83.0,16.9,10.0,0,0
891,7653.0,9898.5,31.0,66.0,2.0,5.0,1,0
892,7696.4,9899.9,42.0,94.0,10.7,7.0,0,0
